video_name,video_url,video_descriptions
video_25,https://www.youtube.com/embed/aoSQeuCaD9M,"A young man appears to be touring and exploring a city, and its community of young people, with his camera ."
video_25,https://www.youtube.com/embed/aoSQeuCaD9M,friends recording moments of leisure practicing parkour
video_25,https://www.youtube.com/embed/aoSQeuCaD9M,They are travelling in a train and shooting a travel vlog.
video_26,https://www.youtube.com/embed/V8lb50YlfD4,Sights and sounds from NYC's colorful Chinatown parade.
video_26,https://www.youtube.com/embed/V8lb50YlfD4,"A busy city street in Asia, with parading individuals dressed in costume."
video_26,https://www.youtube.com/embed/V8lb50YlfD4,the festival more intersting to see.they enjoy lot in that time.
video_27,https://www.youtube.com/embed/LkJ4AmPv7kw,A video that is describes a tradition that a school has that alumni and students walk together in solidatory.
video_27,https://www.youtube.com/embed/LkJ4AmPv7kw,women sisterhood celebration traditions legacy happy generations generations united
video_27,https://www.youtube.com/embed/LkJ4AmPv7kw,Ladies talking about their gradaution and how they feel now that they are finished.
video_28,https://www.youtube.com/embed/k-QiLrHXaDE,A parade in the middle of a hot and sunny day with vehicles coming down the road.
video_28,https://www.youtube.com/embed/k-QiLrHXaDE,People supporting a sport team during a parade
video_28,https://www.youtube.com/embed/k-QiLrHXaDE,Peoples who are waiting in the road for visit a superior person
video_29,https://www.youtube.com/embed/WmjtXUZY8AI,one in china taking a vidio call telling them where they are
video_29,https://www.youtube.com/embed/WmjtXUZY8AI,A large parade happening in a Canadian city involving a diverse group of people.
video_29,https://www.youtube.com/embed/WmjtXUZY8AI,China’s wedding and rituals every year
video_30,https://www.youtube.com/embed/pwlWc2Fv7lI,A parade of people biking down the street in a city.
video_30,https://www.youtube.com/embed/pwlWc2Fv7lI,A group of people walk around and interview bicyclists in a city.
video_30,https://www.youtube.com/embed/pwlWc2Fv7lI,Really cool people being enviromental-friendly riding bicycles.
video_31,https://www.youtube.com/embed/z50XTPF5UE8,"The video shows people standing together  against injustices, betrayals and killings of innocent lives."
video_31,https://www.youtube.com/embed/z50XTPF5UE8,Sydney Flash Mob describes events and stand up for Syria.
video_31,https://www.youtube.com/embed/z50XTPF5UE8,The video portrays a flash mob that is protesting the violence and lack of Freedom in Syria.
video_32,https://www.youtube.com/embed/i2aASOSs7RI,Edited video of people dancing/street performing.
video_32,https://www.youtube.com/embed/i2aASOSs7RI,indians people street show dancing singing celebrating
video_32,https://www.youtube.com/embed/i2aASOSs7RI,A dance fest going on in a foreign city street in India.
video_33,https://www.youtube.com/embed/_b5FqzaRrHU,A man stage on speech in mic was speaking
video_33,https://www.youtube.com/embed/_b5FqzaRrHU,A man giving a speech in front of students in a gymnasium.
video_33,https://www.youtube.com/embed/_b5FqzaRrHU,The person is talking and the people are dancing while the crowd is cheering for them.
video_34,https://www.youtube.com/embed/7oyWxp_lji0,A group dance going on in a foreign city of India and language in the middle of the city streets.
video_34,https://www.youtube.com/embed/7oyWxp_lji0,It's an ad for a cricket tournament that features a crowd of people dancing to a song.
video_34,https://www.youtube.com/embed/7oyWxp_lji0,This is a video of Indian people dancing in the streets
video_35,https://www.youtube.com/embed/95PJfC7Vu84,Musicians making a concert in a subway crowded by people
video_35,https://www.youtube.com/embed/95PJfC7Vu84,People in a crowded subway playing orchestra music on violins and brass intstruments.
video_35,https://www.youtube.com/embed/95PJfC7Vu84,train travel to many people playing music istruments to the travel
video_36,https://www.youtube.com/embed/7GClKsKLshg,The man is walking in the path way and taking honey from the nest
video_36,https://www.youtube.com/embed/7GClKsKLshg,The person talks about beekeeping and how to maintain them.
video_36,https://www.youtube.com/embed/7GClKsKLshg,"A man talking about beekeeping, and giving interesting facts and tactics."
video_37,https://www.youtube.com/embed/3TjyiII4WFc,A beekeeper showing us the daily duties of taking care of his hive at work
video_37,https://www.youtube.com/embed/3TjyiII4WFc,A man completing the steps needed to harvest honey and own bees.
video_37,https://www.youtube.com/embed/3TjyiII4WFc,Beekepers taking care of the hive
video_38,https://www.youtube.com/embed/bG_johQVLhg,A man giving information on wasps and how to get rid of them to protect your garden.
video_38,https://www.youtube.com/embed/bG_johQVLhg,Teaches that we should remove wasp for our safety
video_38,https://www.youtube.com/embed/bG_johQVLhg,THE GOOD IN FOR A HUMAN BODIES SHOULD BE NATURAL GIVING AS FOLLOWS ARE THERE OF HUMANITY.
video_39,https://www.youtube.com/embed/RAMQrntwIX0,"A Killer Bee Hive weighing over 200 lbs found in Bitsbey holding over 250,000 bees."
video_39,https://www.youtube.com/embed/RAMQrntwIX0,A horrible killer Bee
video_39,https://www.youtube.com/embed/RAMQrntwIX0,A lady talking about some sort of killer bee attack that happened in a town.
video_40,https://www.youtube.com/embed/7-fjoPGzqDU,The progress of a swarm of bees creating a hive in a tree log
video_40,https://www.youtube.com/embed/7-fjoPGzqDU,Bees living in a hive located in a tree
video_40,https://www.youtube.com/embed/7-fjoPGzqDU,This shows swarm of bees
video_41,https://www.youtube.com/embed/9MFeCFfd3Ho,"Instructional video on how to ""whip the bike"" on a dirt bike"
video_41,https://www.youtube.com/embed/9MFeCFfd3Ho,Professional explanation of one of the movements of the motorcycle
video_41,https://www.youtube.com/embed/9MFeCFfd3Ho,"A man talking about the difficulties associated with motorcross racing, and their solutions."
video_42,https://www.youtube.com/embed/so7Mj_Ew2po,A man interviewing a biker on a specific competition.
video_42,https://www.youtube.com/embed/so7Mj_Ew2po,Interview of the rider Phillip Smage
video_42,https://www.youtube.com/embed/so7Mj_Ew2po,An interesting interview to the indoor motorcycle biker Phillip Smage
video_43,https://www.youtube.com/embed/69PqMfiEHrA,Techniques for stopping a fixed gear bike with no brakes
video_43,https://www.youtube.com/embed/69PqMfiEHrA,Information on a bike and learning the best way to stop on a fixed gear bike.
video_43,https://www.youtube.com/embed/69PqMfiEHrA,Different ways to stop a fix gear bike.
video_44,https://www.youtube.com/embed/_aiz8-Tpmh8,It describes strategies to prevent thieves from stealing your bike.
video_44,https://www.youtube.com/embed/_aiz8-Tpmh8,They are giving reviews of a bicycle which is better to buy and which is not
video_44,https://www.youtube.com/embed/_aiz8-Tpmh8,Things that you have to know to keep a biker safe
video_45,https://www.youtube.com/embed/2bjyPVEpj_c,bi-cycle wheeling performed by riders
video_45,https://www.youtube.com/embed/2bjyPVEpj_c,talks about bikes and maneuvers
video_45,https://www.youtube.com/embed/2bjyPVEpj_c,A guy talking about the best way to learn how to wheelie on a bike.
video_46,https://www.youtube.com/embed/Y63_yfButns,The people in the video are talking about dogs and helpline number for dogs.
video_46,https://www.youtube.com/embed/Y63_yfButns,Interesting advises for the health of your pets from veterinaries of pet hospitals
video_46,https://www.youtube.com/embed/Y63_yfButns,coverage about a dog competition and provide some advice on dog upkeep
video_47,https://www.youtube.com/embed/bmplXtNsQ5M,there are many breeds in dogs. we could not see their cuteness.
video_47,https://www.youtube.com/embed/bmplXtNsQ5M,some one feeding the dogs
video_47,https://www.youtube.com/embed/bmplXtNsQ5M,The dogs are playing and eating and taking rest.
video_48,https://www.youtube.com/embed/QTGgXiTJpNI,"A dogs thoughts, and what they are thinking while their owner interacts with them."
video_48,https://www.youtube.com/embed/QTGgXiTJpNI,a small dong which is very wiared
video_48,https://www.youtube.com/embed/QTGgXiTJpNI,The narrator is talking about the dog in the video.
video_49,https://www.youtube.com/embed/7wlnjkkLAlE,Information on a dog that is overweight to the point of being obese.
video_49,https://www.youtube.com/embed/7wlnjkkLAlE,the dog as not well and the dog can prove that nothing is impossible in the world it can prove the dog.
video_49,https://www.youtube.com/embed/7wlnjkkLAlE,the dog weight is 77 pound this is biggest dach shund dog which has 77 pounds provding good fibure food
video_50,https://www.youtube.com/embed/9-WCh3Aecuc,The cat likes dog food more than cat. And the family has fun with that.
video_50,https://www.youtube.com/embed/9-WCh3Aecuc,People trying to feed dog food to a cat while watching her eat it.
video_50,https://www.youtube.com/embed/9-WCh3Aecuc,"A family convinces a pet cat to come out from under a kitchen table and eat dog, instead of cat food."
